,Quarter,Tm,Detail,SFO,PHI
0,1,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),7,0
1,2,Eagles,Bobby Walston 14 yard field goal,7,3
2,3,Eagles,Bobby Walston 29 yard pass from Bobby Thomason (Bobby Walston kick),7,10
3,4,49ers,Gordie Soltau 27 yard field goal,10,10
