,Quarter,Tm,Detail,DEN,NOR
0,1.0,Saints,Rueben Mayes 2 yard rush (Morten Andersen kick),0,7
1,1.0,Saints,Dalton Hilliard 2 yard rush (Morten Andersen kick),0,14
2,2.0,Saints,Eric Martin 40 yard pass from Bobby Hebert (Morten Andersen kick),0,21
3,3.0,Saints,Mel Gray 66 yard punt return (Morten Andersen kick),0,28
4,3.0,Saints,John Tice 8 yard pass from Bobby Hebert (Morten Andersen kick),0,35
5,4.0,Saints,Eric Martin 6 yard pass from Bobby Hebert (Morten Andersen kick),0,42
