,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Andy Livingston 7 yard rush (Tom Dempsey kick),0,7
1,1.0,Saints,Tom Dempsey 27 yard field goal,0,10
2,2.0,Saints,Tom Dempsey 40 yard field goal,0,13
3,2.0,Eagles,Gary Ballman 80 yard pass from Norm Snead (Sam Baker kick),7,13
4,2.0,Saints,Al Dodd 23 yard pass from Billy Kilmer (Tom Dempsey kick),7,20
5,2.0,Eagles,Sam Baker 30 yard field goal,10,20
6,3.0,Saints,Tom Dempsey 26 yard field goal,10,23
7,3.0,Eagles,Harold Jackson 35 yard pass from Norm Snead (Sam Baker kick),17,23
8,4.0,Saints,Tom Dempsey 17 yard field goal,17,26
