,Quarter,Tm,Detail,RAI,DEN
0,1,Broncos,Tony Dorsett 1 yard rush (Rich Karlis kick),0,7
1,2,Broncos,Tony Dorsett 1 yard rush (Rich Karlis kick),0,14
2,2,Broncos,Steve Sewell 7 yard pass from John Elway (Rich Karlis kick),0,21
3,2,Broncos,Rich Karlis 39 yard field goal,0,24
4,3,Raiders,Steve Smith 40 yard pass from Jay Schroeder (Chris Bahr kick),7,24
5,3,Raiders,Steve Smith 42 yard pass from Jay Schroeder (Chris Bahr kick),14,24
6,4,Raiders,Chris Bahr 28 yard field goal,17,24
7,4,Raiders,Marcus Allen 4 yard rush (Chris Bahr kick),24,24
8,4,Broncos,Rich Karlis 25 yard field goal,24,27
9,4,Raiders,Chris Bahr 44 yard field goal,27,27
10,OT,Raiders,Chris Bahr 35 yard field goal,30,27
