,Quarter,Time,Tm,Detail,NOR,GNB
0,1.0,13:00,Packers,Aaron Jones 46 yard rush (Mason Crosby kick),0,7
1,2.0,12:31,Saints,Mark Ingram 12 yard rush (Wil Lutz kick),7,7
2,2.0,8:37,Packers,Brett Hundley 14 yard rush (Mason Crosby kick),7,14
3,3.0,11:24,Saints,Brandon Coleman 22 yard pass from Drew Brees (Wil Lutz kick failed),13,14
4,3.0,4:08,Saints,Wil Lutz 28 yard field goal,16,14
5,4.0,14:50,Packers,Mason Crosby 46 yard field goal,16,17
6,4.0,10:21,Saints,Wil Lutz 44 yard field goal,19,17
7,4.0,4:55,Saints,Drew Brees 1 yard rush (Wil Lutz kick),26,17
