,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Floyd Little 2 yard rush (Jim Turner kick),7,0
1,2.0,Chiefs,Jim Kearney 29 yard interception return (Jan Stenerud kick),7,7
2,2.0,Chiefs,Jan Stenerud 41 yard field goal,7,10
3,2.0,Broncos,Haven Moses 1 yard pass from Charley Johnson (Jim Turner kick),14,10
4,3.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),14,17
5,3.0,Chiefs,Bobby Bell 61 yard interception return (Jan Stenerud kick),14,24
6,4.0,Broncos,Fran Lynch 8 yard rush (Jim Turner kick),21,24
