,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Rob Lytle 7 yard rush (Jim Turner kick),0,7
1,2.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),7,7
2,2.0,Broncos,Otis Armstrong 10 yard rush (Jim Turner kick),7,14
3,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),14,14
4,3.0,Broncos,Riley Odoms 30 yard pass from Craig Morton (Jim Turner kick),14,21
5,4.0,Steelers,Larry Brown 1 yard pass from Terry Bradshaw (Roy Gerela kick),21,21
6,4.0,Broncos,Jim Turner 44 yard field goal,21,24
7,4.0,Broncos,Jim Turner 25 yard field goal,21,27
8,4.0,Broncos,Jack Dolbin 34 yard pass from Craig Morton (Jim Turner kick),21,34
