,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Fuad Reveiz 41 yard field goal,0,3
1,1.0,Vikings,Fuad Reveiz 45 yard field goal,0,6
2,1.0,Vikings,Herschel Walker 2 yard rush (Fuad Reveiz kick),0,13
3,2.0,Vikings,Herschel Walker 17 yard pass from Rich Gannon (Fuad Reveiz kick),0,20
4,2.0,Vikings,Hassan Jones 5 yard pass from Rich Gannon (Fuad Reveiz kick),0,27
5,2.0,Bears,Kevin Butler 41 yard field goal,3,27
6,2.0,Vikings,Anthony Carter 22 yard pass from Rich Gannon (Fuad Reveiz kick),3,34
7,3.0,Vikings,Mike Merriweather 33 yard defensive fumble return (Fuad Reveiz kick),3,41
8,3.0,Bears,Mark Green 10 yard pass from Jim Harbaugh (Kevin Butler kick),10,41
9,4.0,Bears,Kevin Butler 43 yard field goal,13,41
