,Quarter,Tm,Detail,MIA,ATL
0,1.0,Dolphins,Uwe von Schamann 28 yard field goal,3,0
1,2.0,Falcons,Alfred Jackson 6 yard pass from Steve Bartkowski (Tim Mazzetti kick),3,7
2,3.0,Falcons,Junior Miller 7 yard pass from Steve Bartkowski (Tim Mazzetti kick),3,14
3,4.0,Falcons,Tim Mazzetti 37 yard field goal,3,17
4,4.0,Dolphins,Bruce Hardy 1 yard pass from Bob Griese (Uwe von Schamann kick),10,17
5,4.0,Dolphins,Ronnie Lee 4 yard pass from Bob Griese (Uwe von Schamann kick),17,17
6,4.0,Dolphins,Uwe von Schamann 27 yard field goal,20,17
