,Quarter,Tm,Detail,SEA,DEN
0,1,Broncos,Sammy Winder 36 yard rush (Rich Karlis kick),0,7
1,3,Broncos,Rich Karlis 45 yard field goal,0,10
2,3,Seahawks,Steve Largent 9 yard pass from Dave Krieg (Norm Johnson kick),7,10
3,4,Seahawks,Norm Johnson 39 yard field goal,10,10
4,OT,Broncos,Rich Karlis 24 yard field goal,10,13
