,Quarter,Tm,Detail,CHI,GNB
0,1,Packers,Boyd Dowler 18 yard pass from Bart Starr (Paul Hornung kick),0,7
1,2,Packers,Paul Hornung 37 yard field goal,0,10
2,3,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),0,17
3,4,Packers,Ron Kramer 17 yard pass from Bart Starr (Paul Hornung kick),0,24
