,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,,Patriots,Matt Bahr 22 yard field goal,3,0
1,2.0,,Colts,Sean Dawkins 23 yard pass from Don Majkowski (Dean Biasucci kick),3,7
2,3.0,,Patriots,Matt Bahr 37 yard field goal,6,7
3,4.0,,Patriots,Matt Bahr 25 yard field goal,9,7
4,4.0,,Colts,Dean Biasucci 50 yard field goal,9,10
5,4.0,,Patriots,Matt Bahr 43 yard field goal,12,10
