,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Nick Lowery 37 yard field goal,3,0
1,1.0,Broncos,Rick Upchurch 14 yard pass from Craig Morton (Fred Steinfort kick),3,7
2,2.0,Broncos,Riley Odoms 6 yard pass from Craig Morton (Fred Steinfort kick),3,14
3,2.0,Chiefs,Nick Lowery 39 yard field goal,6,14
4,2.0,Chiefs,Al Dixon 26 yard pass from Steve Fuller (Nick Lowery kick),13,14
5,3.0,Broncos,Fred Steinfort 41 yard field goal,13,17
6,3.0,Chiefs,Henry Marshall 46 yard pass from Steve Fuller (Nick Lowery kick),20,17
7,4.0,Chiefs,Nick Lowery 34 yard field goal,23,17
