,Quarter,Tm,Detail,DET,BOS
0,1.0,Lions,Glenn Presnell 34 yard field goal,3,0
1,3.0,Lions,Dutch Clark 10 yard pass from Ace Gutowsky (Dutch Clark kick),10,0
2,4.0,Redskins,Charley Malone 45 yard pass from Pug Rentner (Ted Wright kick),10,7
3,4.0,Lions,Ernie Caddel 9 yard rush (Dutch Clark kick),17,7
