,Quarter,Time,Tm,Detail,PHI,PIT
0,1.0,,Eagles,Eddie Murray 21 yard field goal,3,0
1,4.0,,Steelers,Andre Hastings 18 yard pass from Neil O'Donnell (Gary Anderson kick),3,7
2,4.0,,Steelers,John Williams 3 yard rush (Gary Anderson kick),3,14
