,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,"Safety, Hampton tackled Davis in end zone",0,2
1,2.0,Bears,Dennis Gentry special teams fumble recovery in end zone (Kevin Butler kick),0,9
2,3.0,Packers,Al Del Greco 22 yard field goal,3,9
3,4.0,Packers,Ed West 46 yard pass from Randy Wright (Al Del Greco kick),10,9
4,4.0,Bears,Kevin Butler 32 yard field goal,10,12
