,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,Pat Summerall 28 yard field goal,0,3
1,1.0,Eagles,Toy Ledbetter 34 yard pass from Bobby Thomason (Bobby Walston kick),7,3
2,2.0,Eagles,Jim Parmer 1 yard rush (Bobby Walston kick),14,3
3,2.0,Eagles,Frank Ziegler 52 yard rush (Bobby Walston kick),21,3
4,2.0,Eagles,Pete Pihos 6 yard pass from Adrian Burk (Bobby Walston kick),28,3
5,3.0,Eagles,Hal Giancanelli 28 yard pass from Bobby Thomason (Bobby Walston kick),35,3
6,4.0,Cardinals,Charley Trippi 8 yard pass from Jim Root (Pat Summerall kick),35,10
7,4.0,Cardinals,Billy Cross 51 yard pass from Jim Root (Pat Summerall kick),35,17
8,4.0,Eagles,Jim Parmer 7 yard rush (Bobby Walston kick),42,17
9,4.0,Eagles,Tom Scott fumble recovery in end zone (Bobby Walston kick),49,17
10,4.0,Eagles,John Brewer 9 yard rush (Bobby Walston kick),56,17
