,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Mike Cofer 46 yard field goal,3,0
1,1.0,Vikings,Audray McMillian 51 yard interception return (Fuad Reveiz kick),3,7
2,2.0,49ers,Amp Lee 3 yard pass from Steve Young (Mike Cofer kick),10,7
3,2.0,49ers,Amp Lee 2 yard rush (Mike Cofer kick),17,7
4,3.0,Vikings,Fuad Reveiz 44 yard field goal,17,10
5,3.0,49ers,Mike Cofer 26 yard field goal,20,10
6,4.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),20,17
