,Quarter,Time,Tm,Detail,WAS,DET
0,1.0,8:54,Lions,Jason Hanson 49 yard field goal,0,3
1,2.0,13:13,Lions,Jason Hanson 20 yard field goal,0,6
2,2.0,4:30,Redskins,Stephen Alexander 5 yard pass from Brad Johnson (Brett Conway kick),7,6
3,3.0,6:35,Lions,Jason Hanson 54 yard field goal,7,9
4,3.0,2:04,Redskins,Brett Conway 26 yard field goal,10,9
5,4.0,11:36,Lions,Jason Hanson 37 yard field goal,10,12
6,4.0,6:24,Lions,Jason Hanson 35 yard field goal,10,15
