,Quarter,Tm,Detail,STL,ATL
0,1.0,Cardinals,Jim Bakken 37 yard field goal,3,0
1,1.0,Cardinals,Jim Bakken 45 yard field goal,6,0
2,2.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),13,0
3,2.0,Falcons,Bill Bell 15 yard field goal,13,3
4,2.0,Cardinals,Jim Bakken 33 yard field goal,16,3
5,3.0,Cardinals,Roy Shivers 2 yard rush (Jim Bakken kick),23,3
6,4.0,Falcons,Tom Hayes 25 yard blocked punt return,23,9
7,4.0,Cardinals,Jim Bakken 26 yard field goal,26,9
