,Quarter,Tm,Detail,RAM,NYG
0,1.0,Giants,Bull Karcis 1 yard rush (Ward Cuff kick),0,7
1,2.0,Giants,Bull Karcis 1 yard rush (Ward Cuff kick),0,14
2,2.0,Giants,Ray Hanken 27 yard pass from Tuffy Leemans (Kink Richards kick),0,21
3,3.0,Giants,Ed Danowski 31 yard rush (Ward Cuff kick),0,28
