,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Alan Ameche 1 yard rush (Tom Feamster kick),0,7
1,2.0,Colts,Bert Rechichar 34 yard field goal,0,10
2,2.0,49ers,Billy Wilson 9 yard pass from Y.A. Tittle (Gordie Soltau kick),7,10
3,3.0,Colts,Alan Ameche 3 yard rush (Tom Feamster kick),7,17
4,3.0,49ers,Joe Perry 4 yard rush (Gordie Soltau kick),14,17
5,4.0,49ers,Billy Wilson 77 yard pass from Y.A. Tittle,20,17
