,Quarter,Tm,Detail,DAL,NYJ
0,1.0,Cowboys,Tony Dorsett 7 yard rush (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 22 yard field goal,10,0
2,3.0,Cowboys,Robert Newhouse 1 yard rush (Rafael Septien kick),17,0
3,3.0,Cowboys,Tony Dorsett 54 yard offensive fumble return,23,0
4,4.0,Jets,Jerome Barkum 9 yard pass from Matt Robinson (Pat Leahy kick),23,7
5,4.0,Cowboys,Larry Brinson 8 yard rush (Rafael Septien kick),30,7
