,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,6:36,Texans,Steve Slaton 3 yard pass from Matt Schaub (Kris Brown kick),0,7
1,2.0,12:50,Titans,Kenny Britt 13 yard pass from Vince Young (Rob Bironas kick),7,7
2,2.0,4:01,Texans,Andre Johnson 12 yard pass from Matt Schaub (Kris Brown kick),7,14
3,2.0,0:50,Titans,LenDale White 1 yard rush (Rob Bironas kick),14,14
4,3.0,2:49,Titans,Rob Bironas 50 yard field goal,17,14
5,3.0,0:00,Texans,Kris Brown 26 yard field goal,17,17
6,4.0,0:47,Titans,Rob Bironas 53 yard field goal,20,17
