,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,5:43,Bears,Paul Edinger 30 yard field goal,0,3
1,2.0,7:50,Buccaneers,Martin Gramatica 25 yard field goal,3,3
2,2.0,4:36,Bears,Marty Booker 2 yard pass from Jim Miller (Paul Edinger kick),3,10
3,2.0,0:00,Bears,Paul Edinger 46 yard field goal,3,13
4,3.0,8:11,Bears,Fred Baxter 18 yard pass from Jim Miller (Paul Edinger kick),3,20
5,4.0,11:25,Bears,Anthony Thomas 5 yard rush (Paul Edinger kick),3,27
