,Quarter,Tm,Detail,BUF,HOU
0,1.0,Oilers,Allen Pinkett 1 yard rush (Tony Zendejas kick),0,7
1,2.0,Oilers,Tony Zendejas 26 yard field goal,0,10
2,2.0,Bills,Chris Burkett 12 yard pass from Jim Kelly (Scott Norwood kick),7,10
3,3.0,Oilers,Tony Zendejas 51 yard field goal,7,13
4,4.0,Oilers,Tony Zendejas 22 yard field goal,7,16
