,Quarter,Tm,Detail,CRD,NYG
0,1,Giants,Pat Summerall 37 yard field goal,0,3
1,2,Cardinals,Bobby Joe Conrad 25 yard field goal,3,3
2,3,Giants,Pat Summerall 49 yard field goal,3,6
3,4,Giants,Pat Summerall 20 yard field goal,3,9
