,Quarter,Tm,Detail,CIN,DAL
0,1.0,Cowboys,Toni Fritsch 34 yard field goal,0,3
1,1.0,Cowboys,Lee Roy Jordan 31 yard interception return (Toni Fritsch kick),0,10
2,1.0,Cowboys,Bob Hayes 39 yard pass from Roger Staubach (Toni Fritsch kick),0,17
3,2.0,Cowboys,Mike Montgomery 32 yard pass from Roger Staubach (Toni Fritsch kick),0,24
4,3.0,Bengals,Horst Muhlmann 29 yard field goal,3,24
5,3.0,Bengals,Isaac Curtis 50 yard pass from Ken Anderson (Horst Muhlmann kick),10,24
6,4.0,Cowboys,Walt Garrison 3 yard rush (Toni Fritsch kick),10,31
7,4.0,Cowboys,Billy Joe DuPree 4 yard pass from Roger Staubach (Toni Fritsch kick),10,38
