,Quarter,Tm,Detail,PIT,NYG
0,1,Giants,Ward Cuff 18 yard pass from Ed Danowski (Ward Cuff kick),0,7
1,2,Pirates,Bill Sortet 24 yard pass from Frank Filchock (Armand Niccolai kick),7,7
2,3,Giants,Ward Cuff 10 yard field goal,7,10
3,4,Pirates,Bill Sortet 13 yard pass from Frank Filchock,13,10
