,Quarter,Time,Tm,Detail,MIA,PHI
0,1.0,10:27,Dolphins,Andrew Franks 42 yard field goal,3,0
1,1.0,8:43,Eagles,Josh Huff 2 yard pass from Sam Bradford (Caleb Sturgis kick),3,7
2,1.0,8:38,Eagles,"Safety, Ryan Tannehill fumble O.B. in end zone",3,9
3,1.0,4:43,Eagles,Ryan Mathews 1 yard rush (Caleb Sturgis kick),3,16
4,2.0,8:18,Dolphins,Andrew Franks 22 yard field goal,6,16
5,2.0,5:52,Dolphins,Lamar Miller 13 yard pass from Ryan Tannehill (Andrew Franks kick),13,16
6,4.0,14:55,Dolphins,Jarvis Landry 4 yard pass from Ryan Tannehill (Andrew Franks kick),20,16
7,4.0,10:20,Eagles,Caleb Sturgis 37 yard field goal,20,19
