,Quarter,Tm,Detail,RAM,MIN
0,2.0,Vikings,Fred Cox 33 yard field goal,0,3
1,4.0,Vikings,Sammy White 56 yard pass from Fran Tarkenton (Fred Cox kick),0,10
2,4.0,Rams,Tom Dempsey 42 yard field goal,3,10
3,4.0,Rams,Jim Bertelsen 1 yard rush (Tom Dempsey kick),10,10
