,Quarter,Time,Tm,Detail,CIN,PHI
0,1.0,,Eagles,Michael Timpson 23 yard pass from Bobby Hoying (Chris Boniol kick),0,7
1,1.0,,Bengals,Darnay Scott 10 yard pass from Boomer Esiason (Doug Pelfrey kick),7,7
2,1.0,,Bengals,James Hundon 36 yard pass from Boomer Esiason (Doug Pelfrey kick),14,7
3,2.0,,Eagles,Chad Lewis 2 yard pass from Bobby Hoying (Chris Boniol kick),14,14
4,2.0,,Eagles,Jimmie Johnson 16 yard pass from Bobby Hoying (Chris Boniol kick),14,21
5,2.0,,Eagles,Chris Boniol 33 yard field goal,14,24
6,3.0,,Eagles,Chris Boniol 25 yard field goal,14,27
7,3.0,,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),21,27
8,3.0,,Eagles,Kevin Turner 23 yard pass from Bobby Hoying (Chris Boniol kick),21,34
9,4.0,,Bengals,Tony McGee 9 yard pass from Boomer Esiason (Doug Pelfrey kick),28,34
10,4.0,,Eagles,Ricky Watters 16 yard rush (Chris Boniol kick),28,41
11,4.0,,Bengals,James Hundon 13 yard pass from Boomer Esiason (Doug Pelfrey kick),35,41
12,4.0,,Bengals,Brian Milne 1 yard rush (Doug Pelfrey kick),42,41
13,4.0,,Eagles,Chris Boniol 31 yard field goal,42,44
