,Quarter,Tm,Detail,NYJ,IND
0,1.0,Jets,Pat Leahy 32 yard field goal,3,0
1,2.0,Jets,"Safety, Byrd tackled George in end zone",5,0
2,2.0,Jets,Pat Leahy 21 yard field goal,8,0
3,3.0,Jets,Pat Leahy 29 yard field goal,11,0
4,3.0,Jets,Pat Leahy 40 yard field goal,14,0
5,3.0,Colts,Jessie Hester 43 yard pass from Jeff George (Dean Biasucci kick),14,7
6,4.0,Colts,Stanley Morgan 3 yard pass from Jeff George (Dean Biasucci kick),14,14
7,4.0,Colts,Dean Biasucci 38 yard field goal,14,17
