,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,,Bills,Steve Christie 41 yard field goal,0,3
1,2.0,,Bills,Steve Christie 40 yard field goal,0,6
2,2.0,,Dolphins,Olindo Mare 27 yard field goal,3,6
3,4.0,,Dolphins,Olindo Mare 35 yard field goal,6,6
4,4.0,,Bills,Steve Christie 39 yard field goal,6,9
