,Quarter,Time,Tm,Detail,CAR,CLE
0,1.0,12:04,Panthers,John Kasay 44 yard field goal,3,0
1,2.0,14:47,Browns,Phil Dawson 23 yard field goal,3,3
2,2.0,10:51,Panthers,William Floyd 1 yard rush (John Kasay kick),10,3
3,2.0,0:18,Panthers,Wesley Walls 8 yard pass from Steve Beuerlein (John Kasay kick),17,3
4,3.0,8:13,Panthers,Brian Kinchen 1 yard pass from Steve Beuerlein (John Kasay kick),24,3
5,4.0,13:14,Panthers,William Floyd 1 yard rush (John Kasay kick),31,3
6,4.0,5:21,Browns,Terry Kirby 2 yard rush (Phil Dawson kick),31,10
7,4.0,0:10,Browns,Darrin Chiaverini 12 yard pass from Tim Couch (Phil Dawson kick),31,17
