,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Elijah Pitts 17 yard pass from Bart Starr (Don Chandler kick),7,0
1,1.0,Packers,Jim Grabowski 18 yard special teams fumble return (Don Chandler kick),14,0
2,1.0,Cowboys,Dan Reeves 3 yard rush (Danny Villanueva kick),14,7
3,1.0,Cowboys,Don Perkins 23 yard rush (Danny Villanueva kick),14,14
4,2.0,Packers,Carroll Dale 51 yard pass from Bart Starr (Don Chandler kick),21,14
5,2.0,Cowboys,Danny Villanueva 11 yard field goal,21,17
6,3.0,Cowboys,Danny Villanueva 32 yard field goal,21,20
7,3.0,Packers,Boyd Dowler 16 yard pass from Bart Starr (Don Chandler kick),28,20
8,4.0,Packers,Max McGee 28 yard pass from Bart Starr,34,20
9,4.0,Cowboys,Frank Clarke 68 yard pass from Don Meredith (Danny Villanueva kick),34,27
