,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,14:00,Panthers,DeAngelo Williams 66 yard rush (John Kasay kick),7,0
1,1.0,6:53,Panthers,DeAngelo Williams 7 yard rush (John Kasay kick),14,0
2,2.0,13:41,Saints,John Carney 23 yard field goal,14,3
3,2.0,5:30,Panthers,John Kasay 32 yard field goal,17,3
4,2.0,0:04,Saints,John Carney 25 yard field goal,17,6
5,3.0,13:14,Saints,Pierre Thomas 10 yard rush (John Carney kick),17,13
6,3.0,3:27,Panthers,John Kasay 25 yard field goal,20,13
7,3.0,0:00,Saints,Robert Meachem 54 yard pass from Drew Brees (John Carney kick),20,20
8,4.0,4:36,Saints,John Carney 40 yard field goal,20,23
9,4.0,2:00,Saints,Anthony Hargrove 1 yard defensive fumble return (John Carney kick),20,30
