,Quarter,Tm,Detail,CIN,DAL
0,1.0,Bengals,Jim Breech 45 yard field goal,3,0
1,1.0,Bengals,James Brooks 3 yard rush (Jim Breech kick),10,0
2,2.0,Cowboys,Troy Aikman 2 yard rush (Ken Willis kick),10,7
3,2.0,Cowboys,Ricky Blake 30 yard rush (Ken Willis kick),10,14
4,2.0,Cowboys,Jay Novacek 26 yard pass from Troy Aikman (Ken Willis kick),10,21
5,3.0,Bengals,Harold Green 75 yard rush (Jim Breech kick),17,21
6,3.0,Bengals,Jim Breech 24 yard field goal,20,21
7,3.0,Bengals,Jim Breech 26 yard field goal,23,21
8,4.0,Cowboys,Emmitt Smith 2 yard rush (Ken Willis kick),23,28
9,4.0,Cowboys,Dixon Edwards 36 yard interception return (Ken Willis kick),23,35
