,Quarter,Time,Tm,Detail,SDG,STL
0,1.0,11:43,Rams,Ernie Conwell 17 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
1,1.0,7:36,Chargers,Ryan McNeil 5 yard defensive fumble return (Steve Christie kick),7,7
2,2.0,14:01,Chargers,Steve Christie 41 yard field goal,10,7
3,2.0,8:54,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),17,7
4,3.0,9:12,Rams,Isaac Bruce 27 yard pass from Marc Bulger (Jeff Wilkins kick),17,14
5,3.0,5:09,Chargers,Donnie Edwards 82 yard defensive fumble return (Steve Christie kick),24,14
6,4.0,3:06,Rams,Isaac Bruce 34 yard pass from Marc Bulger (Jeff Wilkins kick),24,21
7,4.0,1:14,Rams,Isaac Bruce 7 yard pass from Marc Bulger (Jeff Wilkins kick),24,28
