,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,John Cappelletti 3 yard pass from Pat Haden (Frank Corral kick),0,7
1,1.0,49ers,Ray Wersching 25 yard field goal,3,7
2,2.0,Rams,Frank Corral 47 yard field goal,3,10
3,2.0,Rams,Willie Miller 11 yard pass from Pat Haden (Frank Corral kick),3,17
4,3.0,49ers,Greg Boykin 2 yard rush (Ray Wersching kick),10,17
5,3.0,Rams,Cullen Bryant 10 yard rush (Frank Corral kick),10,24
6,4.0,Rams,Frank Corral 38 yard field goal,10,27
