,Quarter,Tm,Detail,NYG,ATL
0,1.0,Giants,Rob Carpenter 1 yard rush,6,0
1,2.0,Giants,Rob Carpenter 9 yard pass from Phil Simms (Ali Haji-Sheikh kick),13,0
2,2.0,Giants,Ali Haji-Sheikh 41 yard field goal,16,0
3,3.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),16,7
4,4.0,Giants,Ali Haji-Sheikh 34 yard field goal,19,7
