,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Ralph Kercheval 27 yard field goal,0,3
1,2.0,Pirates,George Platukis 30 yard pass from Ernie Wheeler (Armand Niccolai kick),7,3
2,2.0,Dodgers,Ace Parker 10 yard rush (Bruiser Kinard kick),7,10
3,4.0,Dodgers,"Safety, Hill tackled Wheeler in zone",7,12
