,Quarter,Time,Tm,Detail,ATL,MIN
0,1.0,11:57,Vikings,Adam Thielen 23 yard pass from Kirk Cousins (Dan Bailey kick),0,7
1,1.0,8:28,Vikings,Dalvin Cook 19 yard rush (Dan Bailey kick),0,14
2,2.0,4:42,Vikings,Kirk Cousins 1 yard rush (Dan Bailey kick),0,21
3,3.0,0:34,Vikings,Dalvin Cook 7 yard rush (Dan Bailey kick),0,28
4,4.0,9:25,Falcons,Calvin Ridley 20 yard pass from Matt Ryan (pass failed),6,28
5,4.0,1:09,Falcons,Julio Jones 2 yard pass from Matt Ryan (pass failed),12,28
