,Quarter,Tm,Detail,FRN,TOR
0,4.0,Yellow Jackets,Ed Halicki 1 yard rush,6,0
1,4.0,Yellow Jackets,Royce Goodbread 40 yard pass from Wally Diehl (Ed Halicki kick),13,0
2,4.0,Tornadoes,Frank Briante 40 yard interception return,13,6
