,Quarter,Tm,Detail,MIA,BUF
0,2.0,Bills,Nick Mike-Mayer 40 yard field goal,0,3
1,3.0,Dolphins,Tony Nathan 4 yard pass from Bob Griese (Uwe von Schamann kick),7,3
2,4.0,Bills,Roosevelt Leaks 4 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,10
3,4.0,Bills,Joe Cribbs 2 yard rush (Nick Mike-Mayer kick),7,17
