,Quarter,Tm,Detail,RAI,WAS
0,1.0,Raiders,Chris Bahr 28 yard field goal,3,0
1,1.0,Redskins,Mark Moseley 45 yard field goal,3,3
2,3.0,Raiders,Chris Bahr 23 yard field goal,6,3
3,4.0,Redskins,George Rogers 3 yard rush (Mark Moseley kick),6,10
