,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Lynn Chandnois 2 yard rush (Gary Glick kick),0,7
1,2.0,Redskins,Sam Baker 42 yard field goal,3,7
2,2.0,Steelers,Ted Marchibroda 1 yard rush (Gary Glick kick),3,14
3,2.0,Redskins,Sam Baker 41 yard field goal,6,14
4,3.0,Steelers,Gary Glick 27 yard field goal,6,17
5,3.0,Steelers,Lynn Chandnois 17 yard pass from Ted Marchibroda,6,23
6,4.0,Steelers,Lynn Chandnois 5 yard rush (Gary Glick kick),6,30
7,4.0,Redskins,Steve Meilinger 13 yard pass from Eddie LeBaron (Sam Baker kick),13,30
