,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,14:36,Vikings,Daunte Culpepper 27 yard rush (Gary Anderson kick),0,7
1,1.0,4:01,Buccaneers,Shaun King 11 yard rush (Martin Gramatica kick),7,7
2,2.0,12:14,Vikings,Gary Anderson 37 yard field goal,7,10
3,2.0,11:11,Vikings,John Davis 26 yard pass from Daunte Culpepper (Gary Anderson kick),7,17
4,2.0,1:06,Buccaneers,Martin Gramatica 23 yard field goal,10,17
5,3.0,11:12,Vikings,Gary Anderson 42 yard field goal,10,20
6,3.0,8:11,Buccaneers,Martin Gramatica 33 yard field goal,13,20
7,3.0,0:44,Buccaneers,Martin Gramatica 35 yard field goal,16,20
8,4.0,12:13,Buccaneers,Donnie Abraham 53 yard blocked field goal return (Martin Gramatica kick),23,20
9,4.0,8:42,Vikings,Randy Moss 42 yard pass from Daunte Culpepper (Gary Anderson kick),23,27
10,4.0,0:59,Vikings,Gary Anderson 19 yard field goal,23,30
