,Quarter,Tm,Detail,HOU,NYJ
0,1.0,Jets,Brad Baxter 3 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Pat Leahy 21 yard field goal,0,10
2,2.0,Oilers,Curtis Duncan 3 yard pass from Warren Moon,6,10
3,2.0,Oilers,Lorenzo White 1 yard rush (Ian Howfield kick),13,10
4,3.0,Jets,Pat Leahy 31 yard field goal,13,13
5,4.0,Oilers,Ian Howfield 23 yard field goal,16,13
6,4.0,Oilers,Drew Hill 37 yard pass from Warren Moon (Ian Howfield kick),23,13
7,4.0,Jets,Chris Burkett 18 yard pass from Ken O'Brien (Pat Leahy kick),23,20
