,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Ken Willard 1 yard rush (Momcilo Gavric kick),7,0
1,2.0,49ers,Dick Witcher 8 yard pass from Doug Cunningham (Momcilo Gavric kick),14,0
2,2.0,49ers,Ken Willard 1 yard rush (Momcilo Gavric kick),21,0
3,2.0,Saints,Ray Poage 22 yard pass from Billy Kilmer (Tom Dempsey kick),21,7
4,3.0,Saints,Andy Livingston 12 yard rush (Tom Dempsey kick),21,14
5,3.0,Saints,Danny Abramowicz 49 yard pass from Billy Kilmer (Tom Dempsey kick),21,21
6,3.0,Saints,Danny Abramowicz 13 yard pass from Andy Livingston (Tom Dempsey kick),21,28
7,3.0,49ers,Jimmy Thomas 45 yard pass from John Brodie (Momcilo Gavric kick),28,28
8,4.0,Saints,"Safety, Center snap out of end zone",28,30
9,4.0,Saints,Tom Dempsey 17 yard field goal,28,33
10,4.0,49ers,Jimmy Thomas 18 yard pass from John Brodie (Momcilo Gavric kick),35,33
11,4.0,Saints,Tom Dempsey 43 yard field goal,35,36
12,4.0,49ers,Momcilo Gavric 23 yard field goal,38,36
13,4.0,Saints,Ernie Wheelwright 3 yard rush (Tom Dempsey kick),38,43
