,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Gail Cogdill 33 yard pass from Milt Plum (Wayne Walker kick),0,7
1,2.0,Lions,Gail Cogdill 27 yard pass from Milt Plum (Wayne Walker kick),0,14
2,2.0,Lions,Sam Williams 6 yard defensive fumble return (Wayne Walker kick),0,21
3,2.0,Lions,"Safety, Starr tackled in end zone by Brown",0,23
4,3.0,Lions,Milt Plum 47 yard field goal,0,26
5,4.0,Packers,Willie Davis defensive fumble recovery in end zone (Jerry Kramer kick),7,26
6,4.0,Packers,Jim Taylor 4 yard rush (Jerry Kramer kick),14,26
