,Quarter,Tm,Detail,STL,CHI
0,1.0,Cardinals,Jim Bakken 37 yard field goal,3,0
1,1.0,Bears,Jack Concannon 6 yard rush (Mac Percival kick),3,7
2,2.0,Bears,Dick Gordon 93 yard pass from Jack Concannon,3,13
3,2.0,Bears,Bob Jones 51 yard pass from Jack Concannon (Mac Percival kick),3,20
4,2.0,Bears,Dick Gordon 67 yard pass from Jack Concannon (Mac Percival kick),3,27
5,3.0,Bears,Mac Percival 14 yard field goal,3,30
