,Quarter,Time,Tm,Detail,JAX,CIN
0,1.0,2:46,Bengals,Randy Bullock 35 yard field goal,0,3
1,1.0,0:27,Jaguars,DJ Chark 11 yard pass from Gardner Minshew II (Aldrick Rosas kick),7,3
2,2.0,3:50,Jaguars,Aldrick Rosas 32 yard field goal,10,3
3,2.0,1:03,Bengals,Joe Mixon 9 yard pass from Joe Burrow (Randy Bullock kick),10,10
4,2.0,0:06,Jaguars,Aldrick Rosas 20 yard field goal,13,10
5,3.0,12:37,Bengals,Joe Mixon 34 yard rush (Randy Bullock kick),13,17
6,3.0,8:34,Bengals,Joe Mixon 23 yard rush (Randy Bullock kick),13,24
7,3.0,3:34,Bengals,Randy Bullock 40 yard field goal,13,27
8,4.0,14:38,Jaguars,Aldrick Rosas 50 yard field goal,16,27
9,4.0,9:25,Bengals,Randy Bullock 46 yard field goal,16,30
10,4.0,6:17,Jaguars,DJ Chark 2 yard pass from Gardner Minshew II (pass failed),22,30
11,4.0,1:50,Bengals,Randy Bullock 30 yard field goal,22,33
12,4.0,0:12,Jaguars,Aldrick Rosas 30 yard field goal,25,33
