,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Pete Gogolak 14 yard field goal,3,0
1,1.0,Cardinals,Mel Gray 10 yard pass from Jim Hart (Jim Bakken kick),3,7
2,2.0,Cardinals,Donny Anderson 2 yard rush (Jim Bakken kick),3,14
3,2.0,Giants,Randy Johnson 2 yard rush (Pete Gogolak kick),10,14
4,3.0,Cardinals,Walker Gillette 48 yard pass from Jim Hart (Jim Bakken kick),10,21
5,4.0,Giants,Charlie Evans 1 yard rush (Pete Gogolak kick),17,21
6,4.0,Cardinals,Mel Gray 55 yard pass from Jim Hart (Jim Bakken kick),17,28
7,4.0,Giants,Pete Gogolak 22 yard field goal,20,28
8,4.0,Cardinals,Mel Gray 41 yard pass from Jim Hart (Jim Bakken kick),20,35
9,4.0,Giants,Bob Tucker 3 yard pass from Randy Johnson (Pete Gogolak kick),27,35
