,Quarter,Time,Tm,Detail,PHI,TAM
0,1.0,14:49,Buccaneers,DeSean Jackson 75 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),0,7
1,2.0,4:51,Eagles,Corey Clement 15 yard rush (Jake Elliott kick),7,7
2,2.0,4:39,Buccaneers,O.J. Howard 75 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick failed),7,13
3,2.0,0:42,Buccaneers,Chris Godwin 8 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),7,20
4,3.0,9:19,Buccaneers,Mike Evans 4 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),7,27
5,3.0,0:09,Eagles,Jay Ajayi 2 yard rush (Jake Elliott kick),14,27
6,4.0,2:46,Eagles,Nelson Agholor 2 yard pass from Nick Foles (Jake Elliott kick),21,27
