,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,13:31,Cowboys,Tim Seder 41 yard field goal,3,0
1,1.0,8:21,Cowboys,Tim Seder 43 yard field goal,6,0
2,1.0,3:49,Eagles,Chad Lewis 10 yard pass from Donovan McNabb (David Akers kick),6,7
3,2.0,14:31,Eagles,Chad Lewis 17 yard pass from Donovan McNabb (David Akers kick),6,14
4,2.0,10:24,Eagles,Damon Moore 10 yard defensive fumble return (David Akers kick),6,21
5,2.0,6:47,Eagles,Todd Pinkston 10 yard pass from Donovan McNabb (David Akers kick failed),6,27
6,2.0,5:43,Eagles,David Akers 40 yard field goal,6,30
7,2.0,0:16,Eagles,David Akers 19 yard field goal,6,33
8,3.0,8:34,Eagles,Correll Buckhalter 3 yard rush (David Akers kick),6,40
9,4.0,4:46,Cowboys,Robert Thomas 5 yard pass from Clint Stoerner (pass failed),12,40
10,4.0,0:38,Cowboys,Michael Wiley 11 yard pass from Clint Stoerner (pass failed),18,40
