,Quarter,Tm,Detail,DAL,SDG
0,1.0,Chargers,Derrie Nelson 63 yard blocked punt return (Rolf Benirschke kick),0,7
1,2.0,Chargers,Chuck Muncie 2 yard rush (Rolf Benirschke kick),0,14
2,2.0,Cowboys,Drew Pearson 16 yard pass from Danny White,6,14
3,2.0,Chargers,Rolf Benirschke 37 yard field goal,6,17
4,3.0,Chargers,Pete Holohan 18 yard pass from Ed Luther (Rolf Benirschke kick),6,24
5,3.0,Cowboys,Rafael Septien 37 yard field goal,9,24
6,4.0,Cowboys,Tony Hill 35 yard pass from Danny White (Rafael Septien kick),16,24
7,4.0,Cowboys,Billy Joe DuPree 4 yard pass from Danny White (Rafael Septien kick),23,24
