,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Jan Stenerud 50 yard field goal,3,0
1,2.0,Packers,Paul Coffman 1 yard pass from Lynn Dickey (Jan Stenerud kick),10,0
2,2.0,Packers,Jan Stenerud 35 yard field goal,13,0
3,3.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),20,0
4,3.0,Giants,Doug Kotar 1 yard rush (Joe Danelo kick),20,7
5,4.0,Packers,John Jefferson 26 yard pass from Lynn Dickey (Jan Stenerud kick),27,7
6,4.0,Giants,Earnest Gray 2 yard pass from Phil Simms (Joe Danelo kick),27,14
