,Quarter,Tm,Detail,NWE,HOU
0,1.0,Oilers,Toni Fritsch 45 yard field goal,0,3
1,2.0,Patriots,John Smith 26 yard field goal,3,3
2,2.0,Oilers,Mike Barber 79 yard pass from Ken Stabler (Toni Fritsch kick),3,10
3,2.0,Patriots,John Smith 44 yard field goal,6,10
4,2.0,Oilers,Dave Casper 4 yard pass from Ken Stabler (Toni Fritsch kick),6,17
5,2.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),6,24
6,3.0,Patriots,Don Calhoun 1 yard rush (John Smith kick),13,24
7,3.0,Patriots,Harold Jackson 39 yard pass from Steve Grogan (John Smith kick),20,24
8,4.0,Oilers,Earl Campbell 7 yard rush (Toni Fritsch kick),20,31
9,4.0,Patriots,Russ Francis 21 yard pass from Steve Grogan (John Smith kick),27,31
10,4.0,Oilers,Mike Renfro 16 yard pass from Ken Stabler (Toni Fritsch kick),27,38
11,4.0,Patriots,Russ Francis 15 yard pass from Steve Grogan (John Smith kick),34,38
