,Quarter,Tm,Detail,CRD,CHI
0,1,Bears,Ken Kavanaugh 64 yard pass from Sid Luckman (Pete Gudauskas kick),0,7
1,2,Cardinals,Leo Cantor 2 yard rush (Joe Kuharich kick),7,7
2,3,Cardinals,Leo Cantor 2 yard rush (Joe Kuharich kick),14,7
3,4,Cardinals,"Safety, Luckman pass hit goal post from end zone",16,7
