,Quarter,Tm,Detail,DET,SEA
0,1.0,Seahawks,Steve Largent 3 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Lions,Eddie Murray 45 yard field goal,3,7
2,2.0,Lions,Ken Jenkins 25 yard rush (Eddie Murray kick),10,7
3,2.0,Seahawks,Steve Largent 13 yard pass from Dave Krieg (Norm Johnson kick),10,14
4,2.0,Lions,James Jones 15 yard pass from Gary Danielson (Eddie Murray kick),17,14
5,2.0,Seahawks,Daryl Turner 4 yard pass from Dave Krieg (Norm Johnson kick),17,21
6,4.0,Seahawks,Daryl Turner 51 yard pass from Dave Krieg (Norm Johnson kick),17,28
7,4.0,Seahawks,Norm Johnson 36 yard field goal,17,31
8,4.0,Seahawks,Mike Tice 5 yard pass from Dave Krieg (Norm Johnson kick),17,38
