,Quarter,Tm,Detail,RAI,KAN
0,1.0,Chiefs,Joe Valerio 1 yard pass from Joe Montana (Nick Lowery kick),0,7
1,1.0,Chiefs,Willie Davis 15 yard pass from Joe Montana (Nick Lowery kick),0,14
2,2.0,Raiders,Jeff Jaeger 27 yard field goal,3,14
3,2.0,Chiefs,Marcus Allen 4 yard rush (Nick Lowery kick),3,21
4,3.0,Chiefs,Nick Lowery 29 yard field goal,3,24
5,4.0,Raiders,Rocket Ismail 43 yard pass from Vince Evans,9,24
