,Quarter,Tm,Detail,PIT,OAK
0,1.0,Raiders,Raymond Chester 37 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,2.0,Steelers,Preston Pearson 2 yard rush (Gene Mingo kick),7,7
2,2.0,Raiders,Warren Wells 44 yard pass from George Blanda (George Blanda kick),7,14
3,2.0,Raiders,George Blanda 27 yard field goal,7,17
4,2.0,Raiders,Raymond Chester 19 yard pass from George Blanda (George Blanda kick),7,24
5,3.0,Steelers,Dennis Hughes 12 yard pass from Terry Bradshaw (Gene Mingo kick),14,24
6,3.0,Raiders,Raymond Chester 43 yard pass from George Blanda (George Blanda kick),14,31
