,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Franco Harris 3 yard rush (Roy Gerela kick),0,7
1,1.0,Patriots,John Smith 42 yard field goal,3,7
2,1.0,Patriots,John Smith 40 yard field goal,6,7
3,2.0,Steelers,Roy Gerela 32 yard field goal,6,10
4,2.0,Patriots,John Smith 26 yard field goal,9,10
5,2.0,Steelers,Roy Gerela 41 yard field goal,9,13
6,3.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),9,20
7,3.0,Patriots,Russ Francis 38 yard pass from Steve Grogan (John Smith kick),16,20
8,3.0,Patriots,Darryl Stingley 58 yard pass from Steve Grogan (John Smith kick),23,20
9,4.0,Patriots,Steve Grogan 6 yard rush (John Smith kick),30,20
10,4.0,Steelers,Randy Grossman 11 yard pass from Terry Bradshaw (Roy Gerela kick),30,27
